Day	Date	Time	201808 reversal1-25:Irrad	201808 reversal1-26:Sham	201808 reversal1-28:Irrad	201809 reversal-13:Sham	201809 reversal-14:Irrad	201809 reversal-15:Irrad	201809 reversal-16:Sham	201810 reversal-17:Sham	201810 reversal-18:Irrad	201810 reversal-20:Sham	201811 reversal1-17:Irrad	201811 reversal1-18:Sham	201811 reversal1-20:Irrad	201811 reversal2-21:Irrad	201811 reversal2-22:Sham	201811 reversal2-23:Sham	201811 reversal2-24:Irrad	201812 reversal-1:Sham	201812 reversal-2:Irrad	201812 reversal-3:Sham	201812 reversal-4:Irrad
-3	1950-05-29	09:18	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:19	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	56.850	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:20	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:21	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:22	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:23	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:24	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:25	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:26	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:27	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:28	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:29	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:30	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:31	nan	nan	nan	0.000	0.000	24.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:32	nan	nan	nan	0.000	0.000	171.756	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:33	nan	nan	nan	0.000	0.000	67.157	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.118
-3	1950-05-29	09:34	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:35	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:36	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:37	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:38	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:39	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:40	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:41	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:42	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:43	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.828	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:44	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	175.747	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:45	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	131.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:46	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	129.926	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:47	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	58.852	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:48	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	34.666	0.000	19.439	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:49	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.608	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:50	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	75.170	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:51	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.799	0.000	0.000	197.111	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:52	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	179.178	0.000	0.000	160.866	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:53	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	33.463	0.000	0.000	276.234	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:54	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	228.131	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:55	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	150.468	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:56	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	199.466	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:57	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	36.468	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:58	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	53.174	0.000	0.000	254.485	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:59	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	207.077	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	10:00	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.850	0.000	0.000	155.019	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	10:01	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	229.446	0.000	0.000	0.000	0.000	0.000	0.000
