,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_5-17-2017
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 5/25/2017 14:12:16
,     Stop Time: ~6/4/2017 14:12:16


Interface/Port, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Average m/min.,26.94,25.05,32.26,0.00,32.06,0.00,0.00,27.30,0.00,21.72,1.70,0.00,0.00,0.00,0.00,
Distance,20398.21,25197.07,30176.40,0.01,23490.62,13817.63,24620.36,27177.59,11.07,21077.93,4595.24,12203.56,27356.67,34324.19,0.00,
Total Counts,50995.53,62992.68,75441.00,0.03,58726.54,34544.07,61550.91,67943.99,27.68,52694.83,11488.11,30508.91,68391.68,85810.49,0.00,


 22:50:33
Interval Count,73.03,34.67,0.05,0.00,85.28,0.00,10.50,70.13,0.00,56.61,9.21,0.00,0.01,0.00,0.00,
Average m/min.,29.20,13.87,0.02,0.00,34.14,0.00,4.20,28.09,0.00,22.66,3.69,0.00,0.01,0.00,0.00,
Distance,20427.42,25210.94,30176.42,0.01,23524.73,13817.63,24624.56,27205.65,11.07,21100.57,4598.93,12203.56,27356.68,34324.19,0.00,
Total Counts,51068.55,63027.36,75441.05,0.03,58811.82,34544.07,61561.41,68014.12,27.68,52751.43,11497.32,30508.91,68391.70,85810.49,0.00,


 22:51:33
Interval Count,70.70,71.18,0.00,0.00,90.20,0.00,68.91,73.36,0.00,54.80,9.13,0.00,0.00,52.78,0.00,
Average m/min.,28.28,28.48,0.00,0.00,36.07,0.00,27.55,29.31,0.00,21.90,3.65,0.00,0.00,21.12,0.00,
Distance,20455.70,25239.42,30176.42,0.01,23560.81,13817.63,24652.13,27234.99,11.07,21122.49,4602.58,12203.56,27356.68,34345.31,0.00,
Total Counts,51139.25,63098.54,75441.05,0.03,58902.01,34544.07,61630.32,68087.47,27.68,52806.24,11506.45,30508.91,68391.70,85863.26,0.00,


 22:52:33
Interval Count,66.95,59.00,0.00,0.00,89.55,0.00,62.12,75.92,0.00,57.39,7.92,0.00,2.04,18.03,0.00,
Average m/min.,26.76,23.58,0.00,0.00,35.78,0.00,24.83,30.36,0.00,22.96,3.17,0.00,0.81,7.21,0.00,
Distance,20482.48,25263.02,30176.42,0.01,23596.63,13817.63,24676.97,27265.36,11.07,21145.45,4605.75,12203.56,27357.49,34352.52,0.00,
Total Counts,51206.20,63157.54,75441.05,0.03,58991.57,34544.07,61692.43,68163.39,27.68,52863.63,11514.37,30508.91,68393.74,85881.29,0.00,


 22:53:33
Interval Count,66.36,59.29,0.00,0.00,11.76,0.00,62.26,72.54,0.00,46.30,6.28,0.00,3.74,0.00,0.00,
Average m/min.,26.55,23.72,0.00,0.00,4.70,0.00,24.94,29.03,0.00,18.52,2.51,0.00,1.50,0.00,0.00,
Distance,20509.02,25286.73,30176.42,0.01,23601.33,13817.63,24701.88,27294.37,11.07,21163.97,4608.26,12203.56,27358.99,34352.52,0.00,
Total Counts,51272.55,63216.83,75441.05,0.03,59003.33,34544.07,61754.70,68235.93,27.68,52909.93,11520.64,30508.91,68397.47,85881.29,0.00,


 22:54:33
Interval Count,36.82,57.54,63.11,0.00,88.92,0.00,67.14,66.79,0.00,62.43,9.46,0.00,54.92,3.64,0.00,
Average m/min.,14.73,23.01,25.22,0.00,35.52,0.00,26.82,26.69,0.00,24.97,3.78,0.00,21.97,1.45,0.00,
Distance,20523.75,25309.75,30201.66,0.01,23636.90,13817.63,24728.74,27321.09,11.07,21188.95,4612.04,12203.56,27380.96,34353.97,0.00,
Total Counts,51309.37,63274.37,75504.16,0.03,59092.25,34544.07,61821.84,68302.72,27.68,52972.37,11530.11,30508.91,68452.39,85884.93,0.00,


 22:55:33
Interval Count,0.00,67.55,72.45,0.00,76.18,0.00,52.64,0.01,0.00,43.33,7.34,0.00,75.95,71.63,0.00,
Average m/min.,0.00,27.01,28.98,0.00,30.49,0.00,21.06,0.00,0.00,17.34,2.94,0.00,30.37,28.64,0.00,
Distance,20523.75,25336.77,30230.64,0.01,23667.37,13817.63,24749.79,27321.09,11.07,21206.28,4614.98,12203.56,27411.34,34382.63,0.00,
Total Counts,51309.37,63341.92,75576.61,0.03,59168.43,34544.07,61874.49,68302.74,27.68,53015.70,11537.45,30508.91,68528.34,85956.57,0.00,


 22:56:33
Interval Count,0.00,59.57,50.11,0.00,83.26,0.00,76.79,51.63,0.00,41.08,6.39,0.00,79.16,78.08,0.00,
Average m/min.,0.00,23.83,20.04,0.00,33.32,0.00,30.71,20.65,0.00,16.41,2.56,0.00,31.65,31.23,0.00,
Distance,20523.75,25360.59,30250.68,0.01,23700.68,13817.63,24780.51,27341.75,11.07,21222.71,4617.54,12203.56,27443.00,34413.86,0.00,
Total Counts,51309.37,63401.49,75626.71,0.03,59251.70,34544.07,61951.28,68354.37,27.68,53056.78,11543.84,30508.91,68607.50,86034.64,0.00,


 22:57:34
Interval Count,0.00,63.47,71.00,0.00,42.83,0.00,70.51,73.24,0.00,51.71,0.29,0.00,45.29,72.67,0.00,
Average m/min.,0.00,25.37,28.37,0.00,17.10,0.00,28.18,29.27,0.00,20.67,0.11,0.00,18.11,29.05,0.00,
Distance,20523.75,25385.98,30279.08,0.01,23717.81,13817.63,24808.72,27371.04,11.07,21243.39,4617.65,12203.56,27461.12,34442.93,0.00,
Total Counts,51309.37,63464.96,75697.71,0.03,59294.53,34544.07,62021.79,68427.61,27.68,53108.49,11544.13,30508.91,68652.79,86107.32,0.00,


 22:58:34
Interval Count,2.03,54.18,70.50,0.00,76.93,0.00,56.89,72.50,0.00,52.89,0.05,0.00,53.62,87.75,0.00,
Average m/min.,0.81,21.69,28.22,0.00,30.81,0.00,22.78,29.04,0.00,21.18,0.02,0.00,21.44,35.11,0.00,
Distance,20524.56,25407.66,30307.28,0.01,23748.58,13817.63,24831.47,27400.04,11.07,21264.55,4617.67,12203.56,27482.56,34478.03,0.00,
Total Counts,51311.39,63519.14,75768.21,0.03,59371.46,34544.07,62078.68,68500.11,27.68,53161.38,11544.18,30508.91,68706.41,86195.07,0.00,


 22:59:34
Interval Count,56.67,0.00,71.30,0.00,78.24,0.00,68.95,62.17,0.00,55.59,0.00,0.00,70.12,92.11,0.00,
Average m/min.,22.66,0.00,28.50,0.00,31.25,0.00,27.53,24.83,0.00,22.21,0.00,0.00,28.04,36.82,0.00,
Distance,20547.23,25407.66,30335.81,0.01,23779.88,13817.63,24859.05,27424.91,11.07,21286.79,4617.67,12203.56,27510.61,34514.87,0.00,
Total Counts,51368.07,63519.14,75839.51,0.03,59449.70,34544.07,62147.63,68562.28,27.68,53216.97,11544.18,30508.91,68776.53,86287.17,0.00,


 23:00:34
Interval Count,71.75,0.00,55.97,0.00,77.47,0.00,73.68,64.16,0.00,44.91,0.13,0.00,50.78,69.26,0.00,
Average m/min.,28.70,0.00,22.39,0.00,31.02,0.00,29.51,25.69,0.00,17.97,0.06,0.00,20.31,27.70,0.00,
Distance,20575.93,25407.66,30358.19,0.01,23810.87,13817.63,24888.53,27450.57,11.07,21304.75,4617.73,12203.56,27530.92,34542.57,0.00,
Total Counts,51439.82,63519.14,75895.49,0.03,59527.17,34544.07,62221.32,68626.43,27.68,53261.88,11544.32,30508.91,68827.30,86356.43,0.00,


 23:01:34
Interval Count,63.18,0.00,44.74,0.00,69.09,0.00,75.01,76.07,0.00,0.00,2.84,0.00,82.08,0.00,0.00,
Average m/min.,25.26,0.00,17.89,0.00,27.62,0.00,29.96,30.39,0.00,0.00,1.13,0.00,32.82,0.00,0.00,
Distance,20601.20,25407.66,30376.09,0.01,23838.51,13817.63,24918.53,27481.00,11.07,21304.75,4618.86,12203.56,27563.75,34542.57,0.00,
Total Counts,51503.00,63519.14,75940.22,0.03,59596.26,34544.07,62296.33,68702.50,27.68,53261.88,11547.16,30508.91,68909.38,86356.43,0.00,


 23:02:34
Interval Count,68.18,0.00,59.16,0.00,73.14,0.00,51.71,79.24,0.00,0.00,6.63,0.00,82.76,46.43,0.00,
Average m/min.,27.25,0.00,23.63,0.00,29.23,0.00,20.69,31.69,0.00,0.00,2.66,0.00,33.09,18.56,0.00,
Distance,20628.47,25407.66,30399.75,0.01,23867.76,13817.63,24939.22,27512.69,11.07,21304.75,4621.52,12203.56,27596.86,34561.15,0.00,
Total Counts,51571.18,63519.14,75999.38,0.03,59669.41,34544.07,62348.04,68781.74,27.68,53261.88,11553.79,30508.91,68992.14,86402.87,0.00,


 23:03:34
Interval Count,67.12,46.71,70.09,0.00,73.25,0.00,0.00,79.29,0.00,0.00,9.63,0.00,73.82,88.42,0.00,
Average m/min.,26.86,18.69,28.06,0.00,29.32,0.00,0.00,31.72,0.00,0.00,3.85,0.00,29.53,35.39,0.00,
Distance,20655.32,25426.34,30427.79,0.01,23897.06,13817.63,24939.22,27544.41,11.07,21304.75,4625.37,12203.56,27626.38,34596.52,0.00,
Total Counts,51638.30,63565.86,76069.47,0.03,59742.66,34544.07,62348.04,68861.03,27.68,53261.88,11563.42,30508.91,69065.96,86491.29,0.00,


 23:04:34
Interval Count,65.00,59.39,14.97,0.00,72.72,0.00,0.00,68.04,0.00,0.00,9.03,0.00,69.79,90.18,0.00,
Average m/min.,25.99,23.74,5.98,0.00,29.05,0.00,0.00,27.20,0.00,0.00,3.61,0.00,27.90,36.04,0.00,
Distance,20681.32,25450.10,30433.78,0.01,23926.15,13817.63,24939.22,27571.63,11.07,21304.75,4628.98,12203.56,27654.30,34632.59,0.00,
Total Counts,51703.30,63625.25,76084.45,0.03,59815.38,34544.07,62348.04,68929.07,27.68,53261.88,11572.45,30508.91,69135.75,86581.47,0.00,


 23:05:34
Interval Count,55.22,63.75,0.00,0.00,24.25,0.00,0.00,0.00,0.00,0.00,9.36,0.00,55.59,94.24,0.00,
Average m/min.,22.09,25.51,0.00,0.00,9.71,0.00,0.00,0.00,0.00,0.00,3.74,0.00,22.24,37.70,0.00,
Distance,20703.41,25475.60,30433.78,0.01,23935.85,13817.63,24939.22,27571.63,11.07,21304.75,4632.72,12203.56,27676.54,34670.28,0.00,
Total Counts,51758.53,63689.00,76084.45,0.03,59839.63,34544.07,62348.04,68929.07,27.68,53261.88,11581.80,30508.91,69191.34,86675.71,0.00,


 23:06:34
Interval Count,56.89,63.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.59,9.25,0.00,58.99,85.13,0.00,
Average m/min.,22.75,25.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,3.70,0.00,23.58,34.05,0.00,
Distance,20726.17,25500.95,30433.78,0.01,23935.85,13817.63,24939.22,27571.63,11.07,21305.39,4636.42,12203.56,27700.13,34704.34,0.00,
Total Counts,51815.42,63752.37,76084.45,0.03,59839.63,34544.07,62348.04,68929.07,27.68,53263.47,11591.05,30508.91,69250.33,86760.84,0.00,


 23:07:34
Interval Count,3.43,50.53,0.00,0.00,0.00,0.00,0.89,0.00,0.00,7.89,9.63,0.00,70.43,8.13,0.00,
Average m/min.,1.37,20.20,0.00,0.00,0.00,0.00,0.35,0.00,0.00,3.16,3.85,0.00,28.19,3.25,0.00,
Distance,20727.54,25521.16,30433.78,0.01,23935.85,13817.63,24939.57,27571.63,11.07,21308.55,4640.27,12203.56,27728.31,34707.59,0.00,
Total Counts,51818.86,63802.89,76084.45,0.03,59839.63,34544.07,62348.93,68929.07,27.68,53271.37,11600.68,30508.91,69320.76,86768.97,0.00,


 23:08:34
Interval Count,0.00,67.43,0.00,0.00,0.00,0.00,55.59,0.00,0.00,1.12,2.11,0.00,71.58,84.89,0.00,
Average m/min.,0.00,26.97,0.00,0.00,0.00,0.00,22.23,0.00,0.00,0.44,0.85,0.00,28.62,33.96,0.00,
Distance,20727.54,25548.13,30433.78,0.01,23935.85,13817.63,24961.81,27571.63,11.07,21308.99,4641.12,12203.56,27756.94,34741.55,0.00,
Total Counts,51818.86,63870.33,76084.45,0.03,59839.63,34544.07,62404.53,68929.07,27.68,53272.49,11602.79,30508.91,69392.34,86853.87,0.00,


 23:09:34
Interval Count,0.00,59.91,0.00,0.00,12.86,0.00,65.13,31.20,0.00,0.00,8.39,0.00,51.51,88.49,0.00,
Average m/min.,0.00,23.94,0.00,0.00,5.13,0.00,26.03,12.47,0.00,0.00,3.35,0.00,20.59,35.36,0.00,
Distance,20727.54,25572.09,30433.78,0.01,23940.99,13817.63,24987.86,27584.11,11.07,21308.99,4644.47,12203.56,27777.54,34776.94,0.00,
Total Counts,51818.86,63930.24,76084.45,0.03,59852.49,34544.07,62469.66,68960.26,27.68,53272.49,11611.18,30508.91,69443.86,86942.36,0.00,


 23:10:34
Interval Count,0.00,63.28,0.00,0.00,72.33,0.00,71.89,33.74,0.00,0.00,8.93,0.00,71.55,87.03,0.00,
Average m/min.,0.00,25.33,0.00,0.00,28.97,0.00,28.79,13.50,0.00,0.00,3.58,0.00,28.62,34.82,0.00,
Distance,20727.54,25597.41,30433.78,0.01,23969.93,13817.63,25016.62,27597.60,11.07,21308.99,4648.05,12203.56,27806.16,34811.75,0.00,
Total Counts,51818.86,63993.51,76084.45,0.03,59924.82,34544.07,62541.55,68994.00,27.68,53272.49,11620.12,30508.91,69515.41,87029.38,0.00,


 23:11:34
Interval Count,0.00,22.43,0.00,0.00,66.58,0.00,65.55,44.78,0.00,0.00,6.64,7.18,0.00,90.82,0.00,
Average m/min.,0.00,8.96,0.00,0.00,26.59,0.00,26.18,17.88,0.00,0.00,2.66,2.88,0.00,36.32,0.00,
Distance,20727.54,25606.38,30433.78,0.01,23996.56,13817.63,25042.84,27615.51,11.07,21308.99,4650.71,12206.44,27806.16,34848.08,0.00,
Total Counts,51818.86,64015.95,76084.45,0.03,59991.39,34544.07,62607.11,69038.78,27.68,53272.49,11626.76,30516.09,69515.41,87120.20,0.00,


 23:12:34
Interval Count,0.00,71.43,15.70,0.00,75.12,0.00,71.96,69.51,0.00,0.00,4.39,12.13,0.00,87.07,0.00,
Average m/min.,0.00,28.56,6.28,0.00,30.07,0.00,28.81,27.83,0.00,0.00,1.75,4.85,0.00,34.83,0.00,
Distance,20727.54,25634.95,30440.06,0.01,24026.61,13817.63,25071.63,27643.32,11.07,21308.99,4652.46,12211.29,27806.16,34882.91,0.00,
Total Counts,51818.86,64087.38,76100.14,0.03,60066.51,34544.07,62679.07,69108.29,27.68,53272.49,11631.16,30528.22,69515.41,87207.26,0.00,


 23:13:34
Interval Count,0.00,55.97,60.78,0.00,65.61,0.00,59.50,59.92,0.00,0.01,1.55,0.00,3.24,93.87,0.00,
Average m/min.,0.00,22.39,24.32,0.00,26.25,0.00,23.79,23.95,0.00,0.01,0.62,0.00,1.30,37.53,0.00,
Distance,20727.54,25657.34,30464.37,0.01,24052.85,13817.63,25095.43,27667.28,11.07,21309.00,4653.08,12211.29,27807.46,34920.45,0.00,
Total Counts,51818.86,64143.36,76160.92,0.03,60132.12,34544.07,62738.57,69168.21,27.68,53272.50,11632.71,30528.22,69518.64,87301.13,0.00,


 23:14:34
Interval Count,9.46,35.24,57.42,0.00,75.26,0.00,70.59,72.99,0.00,0.00,4.68,0.00,64.32,93.30,0.00,
Average m/min.,3.79,14.09,22.94,0.00,30.06,0.00,28.21,29.18,0.00,0.00,1.88,0.00,25.72,37.31,0.00,
Distance,20731.33,25671.44,30487.34,0.01,24082.95,13817.63,25123.66,27696.48,11.07,21309.00,4654.96,12211.29,27833.18,34957.77,0.00,
Total Counts,51828.32,64178.59,76218.34,0.03,60207.38,34544.07,62809.16,69241.20,27.68,53272.50,11637.39,30528.22,69582.96,87394.43,0.00,


 23:15:34
Interval Count,61.04,37.20,69.39,0.00,77.04,0.00,49.29,66.83,0.00,0.00,7.84,0.00,80.11,43.58,0.00,
Average m/min.,24.41,14.89,27.77,0.00,30.85,0.00,19.74,26.75,0.00,0.00,3.13,0.00,32.04,17.44,0.00,
Distance,20755.74,25686.32,30515.09,0.01,24113.77,13817.63,25143.38,27723.21,11.07,21309.00,4658.09,12211.29,27865.23,34975.21,0.00,
Total Counts,51889.36,64215.79,76287.74,0.03,60284.42,34544.07,62858.45,69308.03,27.68,53272.50,11645.24,30528.22,69663.07,87438.01,0.00,


 23:16:34
Interval Count,66.61,0.00,54.47,0.00,48.64,0.00,69.55,59.13,0.00,0.00,10.18,0.00,70.68,82.34,0.00,
Average m/min.,26.63,0.00,21.78,0.00,19.44,0.00,27.77,23.62,0.00,0.00,4.08,0.00,28.26,32.92,0.00,
Distance,20782.38,25686.32,30536.88,0.01,24133.23,13817.63,25171.20,27746.86,11.07,21309.00,4662.17,12211.29,27893.50,35008.14,0.00,
Total Counts,51955.96,64215.79,76342.21,0.03,60333.07,34544.07,62928.00,69367.16,27.68,53272.50,11655.42,30528.22,69733.75,87520.36,0.00,


 23:17:34
Interval Count,69.09,18.96,46.30,0.00,57.14,0.00,63.62,0.00,0.00,0.00,6.92,0.00,75.17,79.36,0.00,
Average m/min.,27.63,7.58,18.53,0.00,22.86,0.00,25.48,0.00,0.00,0.00,2.77,0.00,30.08,31.74,0.00,
Distance,20810.02,25693.90,30555.41,0.01,24156.08,13817.63,25196.65,27746.86,11.07,21309.00,4664.94,12211.29,27923.57,35039.88,0.00,
Total Counts,52025.05,64234.75,76388.51,0.03,60390.21,34544.07,62991.62,69367.16,27.68,53272.50,11662.34,30528.22,69808.92,87599.71,0.00,


 23:18:34
Interval Count,69.04,56.05,58.46,0.00,53.54,0.00,73.26,0.00,0.00,0.00,7.34,0.00,73.61,57.46,0.00,
Average m/min.,27.62,22.42,23.38,0.00,21.42,0.00,29.28,0.00,0.00,0.00,2.93,0.00,29.43,22.99,0.00,
Distance,20837.64,25716.32,30578.79,0.01,24177.50,13817.63,25225.95,27746.86,11.07,21309.00,4667.87,12211.29,27953.01,35062.87,0.00,
Total Counts,52094.09,64290.80,76446.97,0.03,60443.75,34544.07,63064.88,69367.16,27.68,53272.50,11669.68,30528.22,69882.53,87657.17,0.00,


 23:19:34
Interval Count,72.78,63.62,52.49,0.00,44.83,0.00,39.18,31.41,0.00,0.00,9.53,0.00,80.32,43.57,0.00,
Average m/min.,29.09,25.43,20.97,0.00,17.91,0.00,15.67,12.56,0.00,0.00,3.81,0.00,32.11,17.41,0.00,
Distance,20866.75,25741.77,30599.78,0.01,24195.43,13817.63,25241.63,27759.43,11.07,21309.00,4671.68,12211.29,27985.14,35080.29,0.00,
Total Counts,52166.87,64354.42,76499.46,0.03,60488.58,34544.07,63104.07,69398.57,27.68,53272.50,11679.21,30528.22,69962.84,87700.74,0.00,


 23:20:34
Interval Count,30.45,60.54,54.11,0.00,65.08,0.00,65.46,60.12,0.00,0.00,7.26,18.13,65.57,73.89,0.00,
Average m/min.,12.18,24.22,21.67,0.00,26.06,0.00,26.21,24.06,0.00,0.00,2.91,7.25,26.22,29.57,0.00,
Distance,20878.93,25765.98,30621.43,0.01,24221.46,13817.63,25267.81,27783.47,11.07,21309.00,4674.59,12218.54,28011.36,35109.85,0.00,
Total Counts,52197.32,64414.96,76553.57,0.03,60553.66,34544.07,63169.53,69458.68,27.68,53272.50,11686.47,30546.36,70028.41,87774.63,0.00,


 23:21:34
Interval Count,46.00,63.09,60.92,0.00,5.95,0.00,71.30,79.53,0.00,0.00,6.87,17.57,77.84,68.97,0.00,
Average m/min.,18.39,25.23,24.35,0.00,2.38,0.00,28.48,31.76,0.00,0.00,2.75,7.03,31.13,27.58,0.00,
Distance,20897.33,25791.22,30645.79,0.01,24223.84,13817.63,25296.33,27815.28,11.07,21309.00,4677.34,12225.57,28042.50,35137.44,0.00,
Total Counts,52243.32,64478.05,76614.49,0.03,60559.61,34544.07,63240.83,69538.21,27.68,53272.50,11693.34,30563.92,70106.25,87843.61,0.00,


 23:22:34
Interval Count,66.22,64.13,66.45,0.00,0.12,0.00,71.49,72.36,0.00,0.00,7.61,0.00,60.37,28.58,0.00,
Average m/min.,26.48,25.63,26.55,0.00,0.05,0.00,28.60,28.96,0.00,0.00,3.04,0.00,24.15,11.43,0.00,
Distance,20923.82,25816.87,30672.37,0.01,24223.89,13817.63,25324.93,27844.23,11.07,21309.00,4680.38,12225.57,28066.65,35148.87,0.00,
Total Counts,52309.54,64542.18,76680.93,0.03,60559.72,34544.07,63312.32,69610.57,27.68,53272.50,11700.95,30563.92,70166.62,87872.18,0.00,


 23:23:34
Interval Count,68.37,0.00,68.86,0.00,0.00,0.00,33.04,68.54,0.00,0.00,6.54,0.00,78.53,83.89,0.00,
Average m/min.,27.35,0.00,27.57,0.00,0.00,0.00,13.22,27.42,0.00,0.00,2.61,0.00,31.40,33.56,0.00,
Distance,20951.16,25816.87,30699.92,0.01,24223.89,13817.63,25338.14,27871.64,11.07,21309.00,4682.99,12225.57,28098.06,35182.43,0.00,
Total Counts,52377.91,64542.18,76749.79,0.03,60559.72,34544.07,63345.36,69679.11,27.68,53272.50,11707.49,30563.92,70245.14,87956.08,0.00,


 23:24:34
Interval Count,53.67,43.18,61.57,0.00,0.00,0.00,0.00,71.96,0.00,0.00,3.51,0.00,70.57,87.25,0.00,
Average m/min.,21.46,17.27,24.59,0.00,0.00,0.00,0.00,28.76,0.00,0.00,1.41,0.00,28.22,34.89,0.00,
Distance,20972.63,25834.15,30724.54,0.01,24223.89,13817.63,25338.14,27900.43,11.07,21309.00,4684.40,12225.57,28126.28,35217.33,0.00,
Total Counts,52431.58,64585.37,76811.36,0.03,60559.72,34544.07,63345.36,69751.07,27.68,53272.50,11711.00,30563.92,70315.71,88043.33,0.00,


 23:25:34
Interval Count,22.45,59.59,21.38,0.00,9.07,0.00,0.00,56.17,0.00,0.00,1.91,0.00,76.76,65.41,0.00,
Average m/min.,8.98,23.84,8.55,0.00,3.63,0.00,0.00,22.48,0.00,0.00,0.76,0.00,30.70,26.15,0.00,
Distance,20981.61,25857.98,30733.09,0.01,24227.52,13817.63,25338.14,27922.89,11.07,21309.00,4685.16,12225.57,28156.99,35243.49,0.00,
Total Counts,52454.03,64644.96,76832.74,0.03,60568.79,34544.07,63345.36,69807.24,27.68,53272.50,11712.91,30563.92,70392.47,88108.74,0.00,


 23:26:34
Interval Count,0.00,59.61,51.26,0.00,72.33,0.00,65.00,48.97,0.00,0.01,7.96,0.00,17.07,39.49,0.00,
Average m/min.,0.00,23.85,20.51,0.00,28.92,0.00,25.98,19.57,0.00,0.01,3.19,0.00,6.83,15.80,0.00,
Distance,20981.61,25881.83,30753.60,0.01,24256.45,13817.63,25364.14,27942.48,11.07,21309.01,4688.35,12225.57,28163.82,35259.29,0.00,
Total Counts,52454.03,64704.57,76884.00,0.03,60641.12,34544.07,63410.36,69856.21,27.68,53272.51,11720.87,30563.92,70409.54,88148.22,0.00,


 23:27:34
Interval Count,0.00,0.00,0.00,0.00,74.30,0.00,80.62,74.66,0.00,0.00,7.92,0.00,0.00,38.55,0.00,
Average m/min.,0.00,0.00,0.00,0.00,29.69,0.00,32.23,29.86,0.00,0.00,3.17,0.00,0.00,15.41,0.00,
Distance,20981.61,25881.83,30753.60,0.01,24286.17,13817.63,25396.39,27972.35,11.07,21309.01,4691.52,12225.57,28163.82,35274.71,0.00,
Total Counts,52454.03,64704.57,76884.00,0.03,60715.42,34544.07,63490.97,69930.87,27.68,53272.51,11728.79,30563.92,70409.54,88186.78,0.00,


 23:28:34
Interval Count,0.00,0.71,0.00,0.00,78.67,0.00,70.03,58.54,0.00,0.00,6.53,0.00,8.55,65.20,0.00,
Average m/min.,0.00,0.28,0.00,0.00,31.50,0.00,28.04,23.43,0.00,0.00,2.61,0.00,3.42,26.09,0.00,
Distance,20981.61,25882.11,30753.60,0.01,24317.64,13817.63,25424.40,27995.76,11.07,21309.01,4694.13,12225.57,28167.24,35300.79,0.00,
Total Counts,52454.03,64705.28,76884.00,0.03,60794.09,34544.07,63561.00,69989.41,27.68,53272.51,11735.32,30563.92,70418.09,88251.97,0.00,


 23:29:34
Interval Count,0.00,65.84,17.59,0.00,14.29,0.00,76.59,4.20,0.00,0.00,7.89,0.00,71.03,60.30,0.00,
Average m/min.,0.00,26.32,7.03,0.00,5.70,0.00,30.59,1.68,0.00,0.00,3.15,0.00,28.40,24.11,0.00,
Distance,20981.61,25908.45,30760.64,0.01,24323.35,13817.63,25455.04,27997.44,11.07,21309.01,4697.28,12225.57,28195.65,35324.91,0.00,
Total Counts,52454.03,64771.12,76901.59,0.03,60808.38,34544.07,63637.59,69993.61,27.68,53272.51,11743.21,30563.92,70489.12,88312.28,0.00,


 23:30:34
Interval Count,26.67,56.61,69.49,0.00,50.30,0.00,69.28,76.95,0.00,0.00,9.24,0.00,80.01,53.42,0.00,
Average m/min.,10.67,22.63,27.79,0.00,20.13,0.00,27.73,30.80,0.00,0.00,3.70,0.00,32.00,21.36,0.00,
Distance,20992.28,25931.09,30788.43,0.01,24343.47,13817.63,25482.75,28028.22,11.07,21309.01,4700.98,12225.57,28227.65,35346.28,0.00,
Total Counts,52480.70,64827.72,76971.08,0.03,60858.68,34544.07,63706.87,70070.55,27.68,53272.51,11752.45,30563.92,70569.13,88365.70,0.00,


 23:31:34
Interval Count,62.84,0.00,69.08,0.00,80.50,0.00,59.13,81.29,0.00,0.00,5.34,0.00,78.30,49.63,0.00,
Average m/min.,25.14,0.00,27.64,0.00,32.21,0.00,23.64,32.50,0.00,0.00,2.14,0.00,31.31,19.85,0.00,
Distance,21017.42,25931.09,30816.06,0.01,24375.67,13817.63,25506.40,28060.74,11.07,21309.01,4703.12,12225.57,28258.97,35366.13,0.00,
Total Counts,52543.54,64827.72,77040.16,0.03,60939.18,34544.07,63766.00,70151.84,27.68,53272.51,11757.79,30563.92,70647.43,88415.33,0.00,


 23:32:34
Interval Count,72.00,0.00,58.38,0.00,77.57,0.00,47.53,77.00,0.00,0.00,9.68,0.00,33.12,57.51,0.00,
Average m/min.,28.78,0.00,23.33,0.00,30.98,0.00,18.99,30.77,0.00,0.00,3.87,0.00,13.25,23.00,0.00,
Distance,21046.22,25931.09,30839.42,0.01,24406.70,13817.63,25525.41,28091.54,11.07,21309.01,4706.99,12225.57,28272.22,35389.14,0.00,
Total Counts,52615.54,64827.72,77098.54,0.03,61016.75,34544.07,63813.53,70228.84,27.68,53272.51,11767.47,30563.92,70680.55,88472.84,0.00,


 23:33:34
Interval Count,68.29,12.63,7.78,0.00,68.88,0.00,56.96,46.91,0.00,0.01,6.00,0.00,84.43,45.75,0.00,
Average m/min.,27.31,5.05,3.11,0.00,27.58,0.00,22.80,18.78,0.00,0.00,2.40,0.00,33.77,18.30,0.00,
Distance,21073.53,25936.14,30842.53,0.01,24434.25,13817.63,25548.19,28110.30,11.07,21309.01,4709.39,12225.57,28305.99,35407.44,0.00,
Total Counts,52683.83,64840.36,77106.32,0.03,61085.63,34544.07,63870.49,70275.75,27.68,53272.53,11773.47,30563.92,70764.99,88518.59,0.00,


 23:34:34
Interval Count,73.47,59.79,12.11,0.00,70.03,0.00,75.86,69.88,0.00,0.00,8.53,0.00,75.08,0.00,0.00,
Average m/min.,29.39,23.92,4.84,0.00,28.00,0.00,30.32,27.92,0.00,0.00,3.41,0.00,30.03,0.00,0.00,
Distance,21102.92,25960.06,30847.37,0.01,24462.26,13817.63,25578.54,28138.25,11.07,21309.01,4712.80,12225.57,28336.03,35407.44,0.00,
