,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_OF_3-13-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/22/2017 17:19:43
,     Stop Time: ~4/1/2017 17:19:43


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Interval Count,0.00,0.00,0.00,33.07,34.42,0.00,0.00,0.00,0.00,0.43,0.00,0.16,0.00,5.26,0.00,37.18,
Average m/min.,0.00,0.00,0.00,13.23,13.78,0.00,0.00,0.00,0.00,0.18,0.00,0.06,0.00,2.10,0.00,14.87,
Distance,57.02,68.25,22.06,228.07,97.65,19.57,0.02,145.60,12.02,16.52,22.41,55.02,12.75,38.66,57.38,118.52,
Total Counts,142.54,170.62,55.16,570.18,244.13,48.92,0.05,364.00,30.04,41.29,56.01,137.55,31.87,96.66,143.46,296.30,


 17:46:14
Interval Count,1.84,0.00,0.00,56.57,36.39,0.00,0.00,15.39,0.00,3.97,0.00,11.29,0.00,0.00,0.00,0.12,
Average m/min.,0.73,0.00,0.00,22.61,14.55,0.00,0.00,6.16,0.00,1.59,0.00,4.52,0.00,0.00,0.00,0.05,
Distance,57.75,68.25,22.06,250.70,112.21,19.57,0.02,151.76,12.02,18.11,22.41,59.54,12.75,38.66,57.38,118.57,
Total Counts,144.38,170.62,55.16,626.75,280.53,48.92,0.05,379.39,30.04,45.26,56.01,148.84,31.87,96.66,143.46,296.42,


 17:47:14
Interval Count,2.57,0.00,0.00,12.83,16.97,0.00,0.00,12.86,0.00,2.08,0.00,5.64,0.00,0.03,0.00,23.50,
Average m/min.,1.03,0.00,0.00,5.13,6.79,0.00,0.00,5.14,0.00,0.83,0.00,2.25,0.00,0.01,0.00,9.40,
Distance,58.78,68.25,22.06,255.83,119.00,19.57,0.02,156.90,12.02,18.94,22.41,61.79,12.75,38.67,57.38,127.97,
Total Counts,146.95,170.62,55.16,639.58,297.50,48.92,0.05,392.25,30.04,47.34,56.01,154.49,31.87,96.68,143.46,319.92,


 17:48:14
Interval Count,0.00,0.00,0.00,30.50,2.16,0.00,0.00,20.78,0.00,1.89,0.00,8.70,0.00,0.00,0.00,31.76,
Average m/min.,0.00,0.00,0.00,12.19,0.86,0.00,0.00,8.31,0.00,0.75,0.00,3.48,0.00,0.00,0.00,12.69,
Distance,58.78,68.25,22.06,268.03,119.86,19.57,0.02,165.21,12.02,19.69,22.41,65.27,12.75,38.67,57.38,140.67,
Total Counts,146.95,170.62,55.16,670.08,299.66,48.92,0.05,413.03,30.04,49.24,56.01,163.18,31.87,96.68,143.46,351.68,


 17:49:14
Interval Count,0.00,0.00,0.12,29.72,0.00,0.00,0.00,0.01,0.00,0.00,0.00,7.11,0.11,0.51,0.11,47.54,
Average m/min.,0.00,0.00,0.05,11.90,0.00,0.00,0.00,0.01,0.00,0.00,0.00,2.85,0.04,0.21,0.05,19.04,
Distance,58.78,68.25,22.11,279.92,119.86,19.57,0.02,165.22,12.02,19.69,22.41,68.12,12.79,38.88,57.43,159.69,
Total Counts,146.95,170.62,55.28,699.80,299.66,48.92,0.05,413.04,30.04,49.24,56.01,170.29,31.97,97.20,143.57,399.22,


 17:50:14
Interval Count,0.00,0.00,0.00,20.11,0.22,0.00,0.00,4.01,0.00,0.11,0.00,6.53,0.03,0.38,0.00,11.97,
Average m/min.,0.00,0.00,0.00,8.03,0.09,0.00,0.00,1.60,0.00,0.05,0.00,2.61,0.01,0.15,0.00,4.79,
Distance,58.78,68.25,22.11,287.96,119.95,19.57,0.02,166.82,12.02,19.74,22.41,70.73,12.80,39.03,57.43,164.48,
Total Counts,146.95,170.62,55.28,719.91,299.88,48.92,0.05,417.05,30.04,49.34,56.01,176.82,32.00,97.58,143.57,411.20,


